search_term,uniprot_accession,gene_name,description,ec_number,synonyms,location,keywords,go_terms,family,zinc_link,cansar_link,nearest_drug_target,matching_drug_target_50,matching_drug_target_35,number_of_3d_structure,number_of_3d_structure_with_small_molecule_ligand,number_of_3d_structure_with_druggability,number_of_3d_structure_druggable,percentage_of_3d_structure_druggable,number_of_3d_structure_tractable,percentage_of_3d_structure_tractable,ligand_druggability_score,ligand_druggability_percentile_rank,matching_protein_variants,screened_compounds,screened_compounds_active,screened_compounds_active_ro5,screened_fragments,screened_fragments_active,screened_fragments_active_ro5,most_prevalent_mutation,most_prevalent_cnv,highest_expressing_celllines
,Q14872,MTF1,"Metal regulatory transcription factor 1",,"MTF1_HUMAN, MTF1","Nucleus, Cytoplasm","Q14872 MTF1_HUMAN Metal regulatory transcription factor 1 Q14872,B2RAK6,Q96CB1 MRE-binding transcription factor, Transcription factor MTF-1 ","cytoplasm, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MTF1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q14872/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P01106,MYC,"Myc proto-oncogene protein",,"MYC_HUMAN, MYC, BHLHE39","Nucleus, Nucleoplasm, Nucleus, Nucleolus","P01106 MYC_HUMAN Myc proto-oncogene protein P01106,A8WFE7,P01107,Q14026 Class E basic helix-loop-helix protein 39, Proto-oncogene c-Myc, Transcription factor p64 BHLHE39","nuclear chromatin, nucleolus, nucleoplasm, nucleus, protein-containing complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MYC_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P01106/,,,,15,0,10,2,20,3,30,-3,59,1,138,15,1,64,10,1,,,
,P28698,MZF1,"Myeloid zinc finger 1",,"MZF1_HUMAN, MZF1, MZF, ZNF42, ZSCAN6",Nucleus,"P28698 MZF1_HUMAN Myeloid zinc finger 1 P28698,M0QXU0,Q7Z729,Q96I71,Q9NRY0,Q9UBW2 Zinc finger and SCAN domain-containing protein 6, Zinc finger protein 42 MZF, ZNF42, ZSCAN6",nucleoplasm,"krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MZF1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P28698/,,,,1,0,1,0,0,0,0,-3,59,,,,,,,,,,
,O94916,NFAT5,"Nuclear factor of activated T-cells 5",,"NFAT5_HUMAN, NFAT5, KIAA0827, TONEBP","Nucleus, Cytoplasm","O94916 NFAT5_HUMAN Nuclear factor of activated T-cells 5 O94916,A2RRB4,A6H8V5,E9PHR7,O95693,Q7LA65,Q969Q8,Q96QH3,Q9UN18 T-cell transcription factor NFAT5, Tonicity-responsive enhancer-binding protein KIAA0827, TONEBP","cytosol, nuclear chromatin, nucleoplasm, nucleus, transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NFAT5_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O94916/,,,,1,0,1,1,100,1,100,-1.5,64,,,,,,,,,,
,Q13469,NFATC2,"Nuclear factor of activated T-cells, cytoplasmic 2",,"NFAC2_HUMAN, NFATC2, NFAT1, NFATP","Cytoplasm, Nucleus","Q13469 NFAC2_HUMAN Nuclear factor of activated T-cells, cytoplasmic 2 Q13469,B5B2N8,B5B2N9,B5B2P0,B5B2P2,B5B2P3,Q13468,Q5TFW7,Q5TFW8,Q9NPX6,Q9NQH3,Q9UJR2 NFAT pre-existing subunit, T-cell transcription factor NFAT1 NFAT1, NFATP","cytoplasm, cytosol, nuclear chromatin, nucleoplasm, nucleus, ribonucleoprotein complex, transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NFAC2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q13469/,,,,8,0,8,5,63,8,100,-3,59,,,,,,,,,,
,Q12968,NFATC3,"Nuclear factor of activated T-cells, cytoplasmic 3",,"NFAC3_HUMAN, NFATC3, NFAT4","Cytoplasm, Nucleus","Q12968 NFAC3_HUMAN Nuclear factor of activated T-cells, cytoplasmic 3 Q12968,O75211,Q14516,Q99840,Q99841,Q99842 NFATx, T-cell transcription factor NFAT4 NFAT4","cytoplasm, cytosol, nuclear chromatin, nucleoplasm, nucleus, transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NFAC3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q12968/,,,,2,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q14494,NFE2L1,"Endoplasmic reticulum membrane sensor NFE2L1",,"NF2L1_HUMAN, NFE2L1, HBZ17, NRF1, TCF11","Endoplasmic reticulum membrane, Endoplasmic reticulum membrane, Nucleus","Q14494 NF2L1_HUMAN Endoplasmic reticulum membrane sensor NFE2L1 Q14494,D3DTU3,D3DTU5,Q12877,Q96FN6 Locus control region-factor 1, Nuclear factor erythroid 2-related factor 1, Nuclear factor, erythroid derived 2, like 1, Protein NRF1, p120 form, Transcription factor 11 HBZ17, NRF1, TCF11","cytoplasm, cytosol, endoplasmic reticulum membrane, integral component of endoplasmic reticulum membrane, integral component of membrane, nuclear chromatin, nucleoplasm, nucleus, protein-containing complex","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NF2L1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q14494/,,,,0,0,0,0,0,0,0,0.65,86,,,,,,,,,,
,Q16236,NFE2L2,"Nuclear factor erythroid 2-related factor 2",,"NF2L2_HUMAN, NFE2L2, NRF2","Cytoplasm, Cytosol, Nucleus","Q16236 NF2L2_HUMAN Nuclear factor erythroid 2-related factor 2 Q16236,B2RBU2,B4E338,E9PGJ7,Q53RW6,Q59HH2,Q96F71 HEBP1, Nuclear factor, erythroid derived 2, like 2 NRF2","centrosome, cytoplasm, cytosol, golgi apparatus, nuclear chromatin, nucleoplasm, nucleus, plasma membrane, protein-dna complex","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NF2L2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q16236/,,,,6,0,1,1,100,1,100,-0.4,75,1,1182,18,0,199,10,0,,,
,O00712,NFIB,"Nuclear factor 1 B-type",,"NFIB_HUMAN, NFIB",Nucleus,"O00712 NFIB_HUMAN Nuclear factor 1 B-type O00712,G3V1P1,H7BYE8,O00166,Q12858,Q5VW29,Q63HM5,Q6ZNF9,Q96J45 CCAAT-box-binding transcription factor, Nuclear factor I/B, TGGCA-binding protein ","cerebellar mossy fiber, fibrillar center, nuclear chromatin, nucleoplasm, nucleus","CTF/NF-I family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NFIB_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O00712/,,,,0,0,0,0,0,0,0,-1.8,60,,,,,,,,,,
,P08651,NFIC,"Nuclear factor 1 C-type",,"NFIC_HUMAN, NFIC, NFI",Nucleus,"P08651 NFIC_HUMAN Nuclear factor 1 C-type P08651,A8K1H0,B7Z4U5,B7Z9C3,K7EMU1,P08652,Q14932,Q9UPJ3,Q9UPJ9,Q9UPK0,Q9UPK1 CCAAT-box-binding transcription factor, Nuclear factor I/C, TGGCA-binding protein NFI","fibrillar center, nuclear chromatin, nucleoplasm, nucleus","CTF/NF-I family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NFIC_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P08651/,,,,0,0,0,0,0,0,0,-1.15,67,,,,,,,,,,
,Q16649,NFIL3,"Nuclear factor interleukin-3-regulated protein",,"NFIL3_HUMAN, NFIL3, E4BP4, IL3BP1",Nucleus,"Q16649 NFIL3_HUMAN Nuclear factor interleukin-3-regulated protein Q16649,B2R9Y8,Q14211,Q6FGQ8,Q96HS0 E4 promoter-binding protein 4, Interleukin-3 promoter transcriptional activator, Interleukin-3-binding protein 1, Transcriptional activator NF-IL3A E4BP4, IL3BP1","nuclear chromatin, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NFIL3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q16649/,,,,0,0,0,0,0,0,0,-1,68,,,,,,,,,,
,Q00653,NFKB2,"Nuclear factor NF-kappa-B p100 subunit",,"NFKB2_HUMAN, NFKB2, LYT10","Nucleus, Cytoplasm","Q00653 NFKB2_HUMAN Nuclear factor NF-kappa-B p100 subunit Q00653,A8K9D9,D3DR83,Q04860,Q9BU75,Q9H471,Q9H472 DNA-binding factor KBF2, H2TF1, Lymphocyte translocation chromosome 10 protein, Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2, Oncogene Lyt-10 LYT10","bcl3/nf-kappab2 complex, cytoplasm, cytosol, nuclear chromatin, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NFKB2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q00653/,,,,6,0,6,0,0,4,67,0.4,84,1,652,26,8,180,17,7,,,
,P25208,NFYB,"Nuclear transcription factor Y subunit beta",,"NFYB_HUMAN, NFYB, HAP3",Nucleus,"P25208 NFYB_HUMAN Nuclear transcription factor Y subunit beta P25208,A8K7B9,Q96IY8 CAAT box DNA-binding protein subunit B, Nuclear transcription factor Y subunit B HAP3","ccaat-binding factor complex, nuclear chromatin, nucleoplasm, nucleus, protein-dna complex, rna polymerase ii transcription regulator complex","NFYB/HAP3 subunit family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NFYB_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P25208/,,,,6,0,6,0,0,6,100,-3,59,,,,,,,,,,
,Q99801,NKX3-1,"Homeobox protein Nkx-3.1",,"NKX31_HUMAN, NKX3-1, NKX3.1, NKX3A",Nucleus,"Q99801 NKX31_HUMAN Homeobox protein Nkx-3.1 Q99801,O15465,Q9H2P4,Q9H2P5,Q9H2P6,Q9H2P7,Q9HBG0 Homeobox protein NK-3 homolog A NKX3.1, NKX3A","cytosol, nuclear chromatin, nucleoplasm, nucleus, site of dna damage","NK-3 homeobox family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NKX31_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q99801/,,,,1,0,1,0,0,1,100,-3,59,,,,,,,,,,
,P20393,NR1D1,"Nuclear receptor subfamily 1 group D member 1",,"NR1D1_HUMAN, NR1D1, EAR1, HREV, THRAL","Nucleus, Cytoplasm, Cell projection, Dendrite, Cell projection, Dendritic spine","P20393 NR1D1_HUMAN Nuclear receptor subfamily 1 group D member 1 P20393,Q0P5Z4,Q15304 Rev-erbA-alpha, V-erbA-related protein 1 EAR1, HREV, THRAL","cytoplasm, dendrite, dendritic spine, nuclear body, nuclear chromatin, nucleoplasm, nucleus","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NR1D1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P20393/,"60.67|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","60.67|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||60.53|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||60.53|P10276|RARA|to be filled in,to be filled in,to be filled in|Whole:::Protein||59.41|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||57.32|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||56.76|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||54.79|P10827|THRA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||50.60|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||50.56|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||50.00|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","60.67|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||60.53|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||60.53|P10276|RARA|to be filled in,to be filled in,to be filled in|Whole:::Protein||59.41|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||57.32|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||56.76|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||54.79|P10827|THRA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||50.60|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||50.56|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||50.00|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||48.91|P19793|RXRA|to be filled in,to be filled in,to be filled in|Whole:::Protein||47.73|P03372|ESR1|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||47.06|Q92731|ESR2|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||45.83|P04150|NR3C1|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||41.38|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||37.93|P06401|PGR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||37.43|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||37.32|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||36.09|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",4,0,4,0,0,3,75,0.85,89,1,121,1,0,47,1,0,,,
,Q14995,NR1D2,"Nuclear receptor subfamily 1 group D member 2",,"NR1D2_HUMAN, NR1D2","Nucleus, Cytoplasm","Q14995 NR1D2_HUMAN Nuclear receptor subfamily 1 group D member 2 Q14995,B2R8Q3,O00402,Q86XD4 Orphan nuclear hormone receptor BD73, Rev-erb alpha-related receptor, Rev-erb-beta, V-erbA-related protein 1-related ","cytoplasm, nuclear chromatin, nucleoplasm, nucleus","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NR1D2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q14995/,"60.53|P10276|RARA|to be filled in,to be filled in,to be filled in|Whole:::Protein","60.53|P10276|RARA|to be filled in,to be filled in,to be filled in|Whole:::Protein||60.53|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||57.32|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||56.86|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||55.00|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||52.81|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||51.81|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||50.59|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||50.00|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","60.53|P10276|RARA|to be filled in,to be filled in,to be filled in|Whole:::Protein||60.53|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||57.32|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||56.86|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||55.00|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||52.81|P10828|THRB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||51.81|P48443|RXRG|to be filled in,to be filled in|Whole:::Protein||50.59|P28702|RXRB|to be filled in,to be filled in|Whole:::Protein||50.00|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||47.06|Q92731|ESR2|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||44.44|P04150|NR3C1|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||40.62|P19793|RXRA|to be filled in,to be filled in,to be filled in|Whole:::Protein||39.42|P10827|THRA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||38.62|P37231|PPARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||36.78|P06401|PGR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||36.63|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||36.11|Q07869|PPARA|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||35.29|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||35.07|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||35.03|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",4,2,4,0,0,4,100,1.15,92,1,6,0,0,3,0,0,,,
,P55055,NR1H2,"Oxysterols receptor LXR-beta",,"NR1H2_HUMAN, NR1H2, LXRB, NER, UNR",Nucleus,"P55055 NR1H2_HUMAN Oxysterols receptor LXR-beta P55055,A8K490,B4DNM6,E7EWA6,Q12970,Q5I0Y1 Liver X receptor beta, Nuclear receptor NER, Nuclear receptor subfamily 1 group H member 2, Ubiquitously-expressed nuclear receptor LXRB, NER, UNR","cytoplasm, nuclear chromatin, nucleoplasm, nucleus","nuclear hormone receptor family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NR1H2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P55055/,"59.57|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","59.57|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein","59.57|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||38.02|P10276|RARA|to be filled in,to be filled in,to be filled in|Whole:::Protein||38.02|P13631|RARG|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||37.50|P10826|RARB|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||37.44|Q96RI1|NR1H4|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein||35.71|P11473|VDR|to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in,to be filled in|Whole:::Protein",25,25,25,22,88,25,100,1.65,95,1,1564,422,127,330,94,35,,,
